Deutsch;Englisch;Daari;Ukrainisch;arabisch
Die ganze Familie geht am Samstag in das Schwimmbad.;On Saturday the whole family goes to the swimming pool.;همه خانواده شنبه به استخر می روند.;У суботу всією сім'єю йдемо в басейн.;تذهب العائلة بأكملها إلى حمام السباحة يوم السبت.
Im Sportunterricht geht die Klasse in die Sporthalle.;In the sportslesson the wole class goes into the gym.;در طول کلاس تربیت بدنی، کلاس به ورزشگاه می رود.;На уроці фізкультури клас йде в спортзал.;أثناء حصة التربية البدنية، يذهب الفصل إلى صالة الألعاب الرياضية.
Heute müssen wir auf den Sportplatz.;Today we have to go to the sports ground.;امروز باید به میدان ورزش برویم.;Сьогодні ми повинні піти на спортивний майданчик.;اليوم علينا أن نذهب إلى الملعب الرياضي.
Die jungen Leute gehen gerne ins Kino.;The young people like to go to the cinema.;جوانان دوست دارند به سینما بروند.;Молодь любить ходити в кіно.;الشباب يحبون الذهاب إلى السينما.
Alte Leute gehen gerne ins Museum.;Old people like to go to the museum.;افراد مسن دوست دارند به موزه بروند.;Старі люди люблять ходити в музеї.;كبار السن يحبون الذهاب إلى المتاحف.
Das Theater ist nichts für mich.;The theater is not for me.;تئاتر برای من نیست.;Театр не для мене.;المسرح ليس لي.
Wie sieht dein Alltag aus?;What does your daily routine look like?;زندگی روزمره شما چگونه است؟;Як виглядає ваше повсякденне життя?;كيف تبدو حياتك اليومية؟
Beim Schwimmen braucht man einen guten Rhythmus.;At swimming you need a good rhythm.;هنگام شنا به یک ریتم خوب نیاز دارید.;Під час плавання потрібен хороший ритм.;عند السباحة تحتاج إلى إيقاع جيد.
Wir gehen mit unserem Sohn auf den Spielplatz.;We go to the playground with our son.;با پسرمان به زمین بازی می رویم.;Ходимо з сином на майданчик.;نذهب إلى الملعب مع ابننا.
Gibt es hier einen Fußballverein?;Is there a soccer club here;اینجا باشگاه فوتبال هست؟;Тут є футбольний клуб?;هل يوجد نادي كرة قدم هنا؟
Du musst viele Fotos mit deiner Kamera machen.;You have to make many pictures with your camera.;شما باید با دوربین خود عکس های زیادی بگیرید.;Ви повинні зробити багато фотографій на камеру.;يجب عليك التقاط الكثير من الصور بالكاميرا الخاصة بك.
Aus dem Radio kommt schöne Musik.;There is nice music coming from the radio.;موسیقی زیبا از رادیو می آید.;Гарна музика лунає з радіо.;الموسيقى الجميلة تأتي من الراديو.
Wir müssen mehr Aktivitäten machen.;We have to do more activities.;باید فعالیت های بیشتری انجام دهیم.;Нам потрібно проводити більше заходів.;نحن بحاجة إلى القيام بالمزيد من الأنشطة.
In der Bibliothek gibt es viele Bücher.;There are many books in the library.;کتاب های زیادی در کتابخانه وجود دارد.;У бібліотеці багато книг.;هناك العديد من الكتب في المكتبة.
Im Sommer gehen die Leute in den Biergarten.;In Summer people like to go to the beer garden.;در تابستان مردم به باغ آبجو می روند.;Влітку люди ходять у пивний сад.;في الصيف يذهب الناس إلى حديقة البيرة.
Der Eintritt kostet sechs Euro.;The entrance costs six euros.;هزینه ورودی شش یورو است.;Вхід коштує шість євро.;تكاليف الدخول ستة يورو.
Das Konzert war wirklich schön.;The concert was really nice.;کنسرت واقعا قشنگ بود;Концерт був дуже гарний.;الحفل كان لطيفا حقا.
Ich habe einen schlimmen Krimi gelesen.;I have read a terrible thriller.;من یک رمان جنایی بد خواندم.;Я прочитав поганий кримінальний роман.;قرأت رواية جريمة سيئة.
Die Klasse besichtigt den Bundestag.;The class is visiting the Bundestag (german parliament).;کلاس از بوندستاگ بازدید می کند.;Клас відвідує Бундестаг.;يزور الفصل البوندستاغ.
Die Jugendlichen gehen gerne in die Disco.;The teens like to go to the disco.;جوانان دوست دارند به دیسکو بروند.;Молодь любить ходити на дискотеку.;الشباب يحبون الذهاب إلى الديسكو.
Verliebte Leute machen gerne ein Picknick.;People who are in love like to make picnic.;افراد عاشق دوست دارند پیک نیک داشته باشند.;Закохані люблять влаштовувати пікнік.;الناس في الحب يحبون القيام بنزهة.
Ich finde die deutsche Kultur sehr interessant.;I find German culture very interesting.;به نظر من فرهنگ آلمانی بسیار جالب است.;Я вважаю німецьку культуру дуже цікавою.;أجد الثقافة الألمانية مثيرة للاهتمام للغاية.
Es gibt so viele Möglichkeiten.;There are so many possibilities.;امکانات بسیار زیادی وجود دارد.;Є так багато можливостей.;هناك الكثير من الاحتمالات.
Der Mann installiert das Programm auf dem Computer.;The man install the program on the computer.;مرد برنامه را روی کامپیوتر نصب می کند.;Чоловік встановлює програму на комп'ютер.;يقوم الرجل بتثبيت البرنامج على الكمبيوتر.
Ich habe viele Sehenswürdigkeiten gesehen.;I have seen many sights.;مناظر زیادی دیدم;Я бачив багато пам'яток.;رأيت العديد من المعالم السياحية.
Hast du Erfahrung mit Autos?;Do you have experience with cars?;آیا تجربه ای از ماشین دارید؟;У вас є досвід роботи з автомобілями?;هل لديك خبرة بالسيارات؟
Unser Ziel ist es gut Fußball zu spielen.;Our goal is to play soccer well.;هدف ما این است که فوتبال خوب بازی کنیم.;Наша мета – добре грати у футбол.;هدفنا هو لعب كرة القدم بشكل جيد.
Im Club kann man tanzen.;You can dance in the club.;می توانید در باشگاه برقصید.;Можна танцювати в клубі.;يمكنك الرقص في النادي.
Wir feiern viele Feste.;We celebrate many partys.;ما بسیاری از جشنواره ها را جشن می گیریم.;Ми святкуємо багато свят.;نحتفل بالعديد من المهرجانات.
Wir gehen an die Bar und trinken noch ein Glas Wein.;We go to the bar and drink another glass of vine.;به بار می رویم و یک لیوان دیگر شراب می نوشیم.;Йдемо в бар і випиваємо ще келих вина.;نذهب إلى البار ونشرب كأسًا آخر من النبيذ.
Hast du das Spiel gesehen?;Have you seen the game?;بازی رو دیدی؟;Ви бачили гру?;هل رأيت اللعبة؟
Ich hatte keinen Spaß.;I had no fun.;من لذت نبردم;Мені не було весело.;لم أستمتع.
